date,restriction
2020-10-13,Curfew
2020-10-14,Tier 1
2020-10-15,Tier 1
2020-10-16,Tier 1
2020-10-17,Tier 2
2020-10-18,Tier 2
2020-10-19,Tier 2
2020-10-20,Tier 2
2020-10-21,Tier 2
2020-10-22,Tier 2
2020-10-23,Tier 2
2020-10-24,Tier 2
2020-10-25,Tier 2
2020-10-26,Tier 2
2020-10-27,Tier 2
2020-10-28,Tier 2
2020-10-29,Tier 2
2020-10-30,Tier 2
2020-10-31,Tier 2
2020-11-01,Tier 2
2020-11-02,Tier 2
2020-11-03,Tier 2
2020-11-04,Tier 2
2020-11-05,Lockdown 2
2020-11-06,Lockdown 2
2020-11-07,Lockdown 2
2020-11-08,Lockdown 2
2020-11-09,Lockdown 2
2020-11-10,Lockdown 2
2020-11-11,Lockdown 2
2020-11-12,Lockdown 2
2020-11-13,Lockdown 2
2020-11-14,Lockdown 2
2020-11-15,Lockdown 2
2020-11-16,Lockdown 2
2020-11-17,Lockdown 2
2020-11-18,Lockdown 2
2020-11-19,Lockdown 2
2020-11-20,Lockdown 2
2020-11-21,Lockdown 2
2020-11-22,Lockdown 2
2020-11-23,Lockdown 2
2020-11-24,Lockdown 2
2020-11-25,Lockdown 2
2020-11-26,Lockdown 2
2020-11-27,Lockdown 2
2020-11-28,Lockdown 2
2020-11-29,Lockdown 2
2020-11-30,Lockdown 2
2020-12-01,Lockdown 2
2020-12-02,Tier 2
2020-12-03,Tier 2
2020-12-04,Tier 2
2020-12-05,Tier 2
2020-12-06,Tier 2
2020-12-07,Tier 2
2020-12-08,Tier 2
2020-12-09,Tier 2
2020-12-10,Tier 2
2020-12-11,Tier 2
2020-12-12,Tier 2
2020-12-13,Tier 2
2020-12-14,Tier 2
2020-12-15,Tier 2
2020-12-16,Tier 3
2020-12-17,Tier 3
2020-12-18,Tier 3
2020-12-19,Tier 3
2020-12-20,Tier 4
2020-12-21,Tier 4
2020-12-22,Tier 4
2020-12-23,Tier 4
2020-12-24,Tier 4
2020-12-25,Tier 4
2020-12-26,Tier 4
2020-12-27,Tier 4
2020-12-28,Tier 4
2020-12-29,Tier 4
2020-12-30,Tier 4
2020-12-31,Tier 4
2021-01-01,Tier 4
2021-01-02,Tier 4
2021-01-03,Tier 4
2021-01-04,Tier 4
2021-01-05,Lockdown 3
2021-01-06,Lockdown 3
2021-01-07,Lockdown 3
2021-01-08,Lockdown 3
2021-01-09,Lockdown 3
2021-01-10,Lockdown 3
2021-01-11,Lockdown 3
2021-01-12,Lockdown 3
2021-01-13,Lockdown 3
2021-01-14,Lockdown 3
2021-01-15,Lockdown 3
2021-01-16,Lockdown 3
2021-01-17,Lockdown 3
2021-01-18,Lockdown 3
2021-01-19,Lockdown 3
2021-01-20,Lockdown 3
2021-01-21,Lockdown 3
2021-01-22,Lockdown 3
2021-01-23,Lockdown 3
2021-01-24,Lockdown 3
2021-01-25,Lockdown 3
2021-01-26,Lockdown 3
2021-01-27,Return to Plan A
2021-01-28,Return to Plan A
2021-01-29,Return to Plan A
2021-01-30,Return to Plan A
2021-01-31,Return to Plan A
2021-02-01,Return to Plan A
2021-02-02,Return to Plan A
2021-02-03,Return to Plan A
2021-02-04,Return to Plan A
2021-02-05,Return to Plan A
2021-02-06,Return to Plan A
2021-02-07,Return to Plan A
2021-02-08,Return to Plan A
2021-02-09,Return to Plan A
2021-02-10,Return to Plan A
2021-02-11,Return to Plan A
2021-02-12,Return to Plan A
2021-02-13,Return to Plan A
2021-02-14,Return to Plan A
2021-02-15,Return to Plan A
2021-02-16,Return to Plan A
2021-02-17,Return to Plan A
2021-02-18,Return to Plan A
2021-02-19,Return to Plan A
2021-02-20,Return to Plan A
2021-02-21,Return to Plan A
2021-02-22,Return to Plan A
2021-02-23,Return to Plan A
2021-02-24,Return to Plan A
2021-02-25,Return to Plan A
2021-02-26,Return to Plan A
2021-02-27,Return to Plan A
2021-02-28,Return to Plan A
2021-03-01,Return to Plan A
2021-03-02,Return to Plan A
2021-03-03,Return to Plan A
2021-03-04,Return to Plan A
2021-03-05,Return to Plan A
2021-03-06,Return to Plan A
2021-03-07,Return to Plan A
2021-03-08,Roadmap out of lockdown: Step 1.1
2021-03-09,Roadmap out of lockdown: Step 1.1
2021-03-10,Roadmap out of lockdown: Step 1.1
2021-03-11,Roadmap out of lockdown: Step 1.1
2021-03-12,Roadmap out of lockdown: Step 1.1
2021-03-13,Roadmap out of lockdown: Step 1.1
2021-03-14,Roadmap out of lockdown: Step 1.1
2021-03-15,Roadmap out of lockdown: Step 1.1
